map00780,R01074,ko:K01942
map00780,R01074,ko:K01947
map00780,R01074,ko:K03524
map00780,R01077,ko:K01435
map00780,R01078,ko:K01012
map00780,R03182,ko:K01935
map00780,R03182,ko:K19562
map00780,R03209,ko:K01906
map00780,R03210,ko:K00652
map00780,R03231,ko:K00833
map00780,R03231,ko:K19562
map00780,R05145,ko:K01942
map00780,R05145,ko:K01947
map00780,R05145,ko:K03524
map00780,R09543,ko:K02169
map00780,R09725,ko:K02170
map00780,R09725,ko:K09789
map00780,R09725,ko:K19560
map00780,R09725,ko:K19561
map00780,R10115,ko:K00647
map00780,R10115,ko:K09458
map00780,R10116,ko:K00059
map00780,R10117,ko:K02372
map00780,R10118,ko:K00208
map00780,R10119,ko:K00647
map00780,R10119,ko:K09458
map00780,R10120,ko:K00059
map00780,R10121,ko:K02372
map00780,R10122,ko:K00208
map00780,R10123,ko:K16593
map00780,R10124,ko:K00652
map00780,R10127,ko:K08351
map00780,R10699,ko:K19563
map00350,R00031,ko:K00422
map00350,R00045,ko:K00422
map00350,R00713,ko:K00135
map00350,R00713,ko:K00139
map00350,R00713,ko:K08324
map00350,R00713,ko:K17761
map00350,R00714,ko:K00135
map00350,R00714,ko:K08324
map00350,R00728,ko:K01668
map00350,R00729,ko:K03334
map00350,R00731,ko:K00505
map00350,R00734,ko:K00811
map00350,R00734,ko:K00812
map00350,R00734,ko:K00813
map00350,R00734,ko:K00815
map00350,R00734,ko:K00817
map00350,R00734,ko:K00832
map00350,R00734,ko:K00838
map00350,R00734,ko:K05821
map00350,R00734,ko:K11358
map00350,R00734,ko:K14454
map00350,R00734,ko:K14455
map00350,R00734,ko:K15849
map00350,R00736,ko:K01592
map00350,R00736,ko:K01593
map00350,R00736,ko:K18933
map00350,R00737,ko:K10774
map00350,R00737,ko:K13064
map00350,R01085,ko:K01557
map00350,R01085,ko:K16164
map00350,R01085,ko:K16165
map00350,R01364,ko:K01555
map00350,R01364,ko:K16171
map00350,R01647,ko:K02510
map00350,R01815,ko:K00501
map00350,R02078,ko:K00422
map00350,R02078,ko:K00505
map00350,R02080,ko:K01592
map00350,R02080,ko:K01593
map00350,R02382,ko:K00274
map00350,R02382,ko:K00276
map00350,R02382,ko:K13371
map00350,R02382,ko:K13372
map00350,R02519,ko:K00451
map00350,R02521,ko:K00457
map00350,R02532,ko:K00274
map00350,R02533,ko:K00553
map00350,R02534,ko:K00545
map00350,R02535,ko:K00503
map00350,R02656,ko:K00450
map00350,R02657,ko:K00157
map00350,R02695,ko:K00129
map00350,R02697,ko:K00129
map00350,R02698,ko:K00483
map00350,R02698,ko:K00484
map00350,R02698,ko:K16901
map00350,R02698,ko:K16902
map00350,R02698,ko:K23470
map00350,R02698,ko:K23492
map00350,R02919,ko:K00274
map00350,R02920,ko:K00545
map00350,R03181,ko:K01800
map00350,R03208,ko:K00431
map00350,R03299,ko:K00483
map00350,R03299,ko:K00484
map00350,R03299,ko:K16901
map00350,R03299,ko:K16902
map00350,R03300,ko:K00129
map00350,R03302,ko:K00129
map00350,R03303,ko:K00455
map00350,R03304,ko:K00545
map00350,R03337,ko:K18606
map00350,R03337,ko:K23109
map00350,R03339,ko:K18606
map00350,R03342,ko:K07253
map00350,R03373,ko:K18606
map00350,R03374,ko:K21425
map00350,R03539,ko:K00431
map00350,R03673,ko:K01827
map00350,R03673,ko:K22203
map00350,R03868,ko:K01801
map00350,R03868,ko:K16163
map00350,R03953,ko:K00431
map00350,R03973,ko:K00431
map00350,R04132,ko:K02509
map00350,R04134,ko:K05921
map00350,R04300,ko:K00274
map00350,R04300,ko:K00276
map00350,R04300,ko:K13371
map00350,R04300,ko:K13372
map00350,R04301,ko:K00545
map00350,R04304,ko:K00055
map00350,R04379,ko:K01826
map00350,R04380,ko:K05921
map00350,R04418,ko:K00151
map00350,R04418,ko:K10219
map00350,R04419,ko:K10219
map00350,R04880,ko:K00001
map00350,R04880,ko:K00121
map00350,R04880,ko:K04072
map00350,R04880,ko:K13951
map00350,R04880,ko:K13952
map00350,R04880,ko:K13953
map00350,R04880,ko:K13954
map00350,R04880,ko:K13980
map00350,R04880,ko:K18857
map00350,R04881,ko:K00545
map00350,R04882,ko:K00129
map00350,R04883,ko:K00129
map00350,R04884,ko:K00505
map00350,R04887,ko:K00545
map00350,R04888,ko:K00129
map00350,R04889,ko:K00129
map00350,R04890,ko:K00274
map00350,R04891,ko:K00129
map00350,R04892,ko:K00129
map00350,R04893,ko:K00274
map00350,R04894,ko:K00274
map00350,R06897,ko:K02509
map00350,R08965,ko:K00506
map00350,R09254,ko:K05821
map00350,R09830,ko:K00270
map00350,R11257,ko:K20758
map00350,R11916,ko:K01618
map00350,R11917,ko:K22327
map00350,R12252,ko:K18606
map00970,R02918,ko:K01866
